19990512 00:00,1357500,1372200,1315000,1366300,15070800
19990513 00:00,1372500,1380000,1368100,1370200,4174600
19990514 00:00,1345600,1362500,1333100,1343000,8210400
19990517 00:00,1336300,1344800,1323100,1343100,6277500
19990518 00:00,1345300,1349800,1326300,1336300,8114700
19990519 00:00,1344700,1348800,1332500,1348100,4273700
19990520 00:00,1351300,1355900,1300600,1343100,4349700
19990521 00:00,1341300,1346900,1195800,1334200,6117400
19990524 00:00,1338400,1338400,1303900,1310900,7687100
19990525 00:00,1313800,1323400,1286900,1288400,9523800
19990526 00:00,1293100,1310000,1280900,1306600,12776900
19990527 00:00,1298400,1302800,1280000,1284400,13998900
19990528 00:00,1290000,1307500,1285900,1305900,8348100
19990601 00:00,1301300,1301600,1283800,1298800,6391500
19990602 00:00,1297500,1301900,1206300,1297800,6812100
19990603 00:00,1306900,1309100,1297800,1302800,5933500
19990604 00:00,1314700,1331900,1309400,1319400,9507800
19990607 00:00,1334400,1341900,1329100,1337500,5078600
19990608 00:00,1333800,1338000,1315900,1321600,5000500
19990609 00:00,1324100,1330900,1318100,1321600,7428700
19990610 00:00,1314400,1315000,1295900,1309100,6785900
19990611 00:00,1312200,1322200,1290900,1298100,12587100
19990614 00:00,1306900,1307500,1295500,1297800,6542000
19990615 00:00,1304700,1316600,1300800,1305900,5438900
19990616 00:00,1323800,1338800,1321600,1334800,7562200
19990617 00:00,1328800,1355600,1326300,1346600,8476400
19990618 00:00,1340600,1346900,1333800,1343100,2601000
19990621 00:00,1344700,1350000,1336600,1349400,4452000
19990622 00:00,1340000,1351900,1333400,1337000,5603600
19990623 00:00,1330000,1336300,1321300,1332800,9474700
19990624 00:00,1328800,1338100,1306600,1316900,9029400
19990625 00:00,1325900,1330200,1312500,1316600,3966300
19990628 00:00,1326900,1336300,1324700,1333800,5175700
19990629 00:00,1330000,1351300,1327800,1351300,6514400
19990630 00:00,1346300,1375000,1338400,1367500,16362400
19990701 00:00,1370000,1385000,1360600,1380600,9586200
19990702 00:00,1381300,1393000,1379100,1391900,3637300
19990706 00:00,1392500,1407500,1385900,1387200,10954800
19990707 00:00,1390600,1397200,1385200,1395600,3052600
19990708 00:00,1390600,1406300,1387500,1395600,7133500
19990709 00:00,1400000,1404700,1393800,1402200,2770400
19990712 00:00,1409400,1409400,1395000,1400600,4233900
19990713 00:00,1393800,1399200,1386600,1395000,6359600
19990714 00:00,1400000,1402200,1387500,1398400,4246900
19990715 00:00,1407800,1488800,1403100,1411300,3236000
19990716 00:00,1412500,1421600,1407500,1420000,2078000
19990719 00:00,1421900,1422500,1405600,1410000,4029000
19990720 00:00,1401300,1404100,1375300,1378000,6843600
19990721 00:00,1380900,1389100,1370000,1378800,4599000
19990722 00:00,1374400,1380000,1354700,1361400,7580400
19990723 00:00,1366600,1370000,1351300,1357500,4432000
19990726 00:00,1348800,1361300,1346300,1350000,4026700
19990727 00:00,1360000,1372000,1353800,1365000,5722800
19990728 00:00,1362500,1373100,1355900,1367300,3803200
19990729 00:00,1349400,1352500,1333100,1343800,7638800
19990730 00:00,1348100,1353400,1328800,1330900,5569700
